,ts_code,extname,index_code,index_name,exchange,mgr_name,amount,human
1159,588670.SH,科创综指增强ETF,000680.SH,上证科创板综合指数,SH,嘉实基金,12697.743,
1165,588750.SH,科创芯片50ETF,000685.SH,上证科创板芯片指数,SH,汇添富基金,36063.145,
1134,588200.SH,科创芯片ETF,000685.SH,上证科创板芯片指数,SH,嘉实基金,1075483.569,
1179,588890.SH,科创芯片ETF南方,000685.SH,上证科创板芯片指数,SH,南方基金,24921.571,
1186,588990.SH,科创芯片ETF博时,000685.SH,上证科创板芯片指数,SH,博时基金,10131.629,
1191,589100.SH,科创芯片ETF国泰,000685.SH,上证科创板芯片指数,SH,国泰基金,11889.354,
1143,588290.SH,科创芯片ETF基金,000685.SH,上证科创板芯片指数,SH,华安基金,92557.821,
1171,588810.SH,科创芯片ETF富国,000685.SH,上证科创板芯片指数,SH,富国基金,4844.846,
1168,588780.SH,科创芯片设计ETF,950162.CSI,上证科创板芯片设计主题指数,SH,国联安基金,12505.812,
774,515580.SH,科技100ETF,931187.CSI,中证科技100指数,SH,华泰柏瑞基金,6395.124,
783,515750.SH,科技50ETF,931186.CSI,中证科技50策略指数,SH,富国基金,7773.174,
364,159807.SZ,科技ETF,931380.CSI,中证科技50指数,SZ,易方达基金,18744.467,
736,515000.SH,科技ETF,931087.CSI,中证科技龙头指数,SH,华宝基金,58321.484,
790,515860.SH,科技ETF嘉实,931165.CSI,中证新兴科技100策略指数,SH,嘉实基金,4392.316,
889,517350.SH,科技ETF沪港深,931524.CSI,中证沪港深科技龙头指数,SH,广发基金,284.048,
306,159723.SZ,科技龙头ETF,931524.CSI,中证沪港深科技龙头指数,SZ,汇添富基金,1643.762,
803,516050.SH,科技龙头ETF,931087.CSI,中证科技龙头指数,SH,工银瑞信基金,4989.331,
298,159713.SZ,稀土ETF,930598.CSI,中证稀土产业指数,SZ,富国基金,76269.662,
856,516780.SH,稀土ETF,930598.CSI,中证稀土产业指数,SH,华泰柏瑞基金,207489.621,1
812,516150.SH,稀土ETF嘉实,930598.CSI,中证稀土产业指数,SH,嘉实基金,260939.859,
299,159715.SZ,稀土ETF易方达,930598.CSI,中证稀土产业指数,SZ,易方达基金,22406.048,
213,159608.SZ,稀有金属ETF,930632.CSI,中证稀有金属主题指数,SZ,广发基金,16446.936,
